0,0,15,43
0,1,15,102
0,2,15,59
0,3,15,85
0,4,15,88
0,5,15,85
0,6,15,87
0,7,15,88
0,8,15,68
0,9,15,30
0,10,15,80
0,11,15,103
0,12,15,57
0,13,15,117
0,14,15,28
0,15,15,82
0,16,15,67
0,17,15,88
0,18,15,83
0,19,15,43
0,20,15,28
0,21,15,86
0,22,15,80
0,23,15,67
0,24,15,83
0,25,15,77
0,26,15,66
0,27,15,29
0,28,15,90
0,29,15,88
0,30,15,43
0,31,15,6
1,0,15,78
1,1,15,86
1,2,15,30
1,3,15,65
1,4,15,87
1,5,15,43
1,6,15,67
1,7,15,29
1,8,15,28
1,9,15,154
1,10,15,231
1,11,15,233
1,12,15,234
1,13,15,159
1,14,15,157
1,15,15,7
1,16,15,24
1,17,15,14
1,18,15,85
1,19,15,83
1,20,15,30
1,21,15,30
1,22,15,81
1,23,15,83
1,24,15,85
1,25,15,66
1,26,15,84
1,27,15,59
1,28,15,81
1,29,15,65
1,30,15,82
1,31,15,161
2,0,15,28
2,1,15,83
2,2,15,65
2,3,15,70
2,4,15,83
2,5,15,66
2,6,15,25
2,7,15,136
2,8,15,234
2,9,15,227
2,10,15,235
2,11,15,210
2,12,15,21
2,13,15,159
2,14,15,129
2,15,15,137
2,16,15,164
2,17,15,164
2,18,15,7
2,19,15,83
2,20,15,29
2,21,15,86
2,22,15,43
2,23,15,83
2,24,15,82
2,25,15,83
2,26,15,43
2,27,15,28
2,28,15,85
2,29,15,7
2,30,15,82
2,31,15,130
3,0,15,29
3,1,15,83
3,2,15,43
3,3,15,84
3,4,15,82
3,5,15,161
3,6,15,152
3,7,15,201
3,8,15,227
3,9,15,210
3,10,15,225
3,11,15,209
3,12,15,211
3,13,15,159
3,14,15,139
3,15,15,101
3,16,15,14
3,17,15,14
3,18,15,90
3,19,15,87
3,20,15,80
3,21,15,44
3,22,15,86
3,23,15,87
3,24,15,82
3,25,15,78
3,26,15,45
3,27,15,84
3,28,15,81
3,29,15,83
3,30,15,82
3,31,15,138
4,0,15,88
4,1,15,43
4,2,15,83
4,3,15,7
4,4,15,26
4,5,15,186
4,6,15,210
4,7,15,202
4,8,15,20
4,9,15,188
4,10,15,21
4,11,15,234
4,12,15,155
4,13,15,58
4,14,15,82
4,15,15,170
4,16,15,84
4,17,15,82
4,18,15,81
4,19,15,84
4,20,15,89
4,21,15,86
4,22,15,86
4,23,15,14
4,24,15,82
4,25,15,86
4,26,15,103
4,27,15,29
4,28,15,103
4,29,15,83
4,30,15,82
4,31,15,140
5,0,15,103
5,1,15,28
5,2,15,30
5,3,15,86
5,4,15,140
5,5,15,224
5,6,15,225
5,7,15,225
5,8,15,227
5,9,15,212
5,10,15,212
5,11,15,136
5,12,15,164
5,13,15,26
5,14,15,25
5,15,15,139
5,16,15,158
5,17,15,161
5,18,15,25
5,19,15,115
5,20,15,62
5,21,15,65
5,22,15,65
5,23,15,80
5,24,15,82
5,25,15,26
5,26,15,66
5,27,15,89
5,28,15,81
5,29,15,84
5,30,15,84
5,31,15,83
6,0,15,67
6,1,15,28
6,2,15,43
6,3,15,58
6,4,15,212
6,5,15,187
6,6,15,227
6,7,15,213
6,8,15,235
6,9,15,213
6,10,15,155
6,11,15,187
6,12,15,130
6,13,15,159
6,14,15,141
6,15,15,23
